dataset,base_model,top_layers_variant,model_name,train_accuracy,train_loss,test_accuracy
imagenet,efficientnetb0,top_variant_1,efficientnetb0_top_variant_1_on_imagenet,0.4178222119808197,2.4132492542266846,0.365200012922287
imagenet,efficientnetb0,top_variant_2,efficientnetb0_top_variant_2_on_imagenet,0.5656333565711975,1.6776845455169678,0.3878999948501587
imagenet,resnet50,top_variant_1,resnet50_top_variant_1_on_imagenet,0.3940666615962982,2.5769474506378174,0.33739998936653137
imagenet,resnet50,top_variant_2,resnet50_top_variant_2_on_imagenet,0.6276777982711792,1.3475255966186523,0.3244999945163727
imagenet,mobilenetv2_1.00_64,top_variant_1,mobilenetv2_1.00_64_top_variant_1_on_imagenet,0.3111555576324463,2.9500322341918945,0.28110000491142273
imagenet,mobilenetv2_1.00_64,top_variant_2,mobilenetv2_1.00_64_top_variant_2_on_imagenet,0.4312777817249298,2.284062385559082,0.3262999951839447
imagenet,densenet121,top_variant_1,densenet121_top_variant_1_on_imagenet,0.6421555280685425,1.3847101926803589,0.45410001277923584
imagenet,densenet121,top_variant_2,densenet121_top_variant_2_on_imagenet,0.7693111300468445,0.8008230924606323,0.4505000114440918
imagenet,densenet169,top_variant_1,densenet169_top_variant_1_on_imagenet,0.5882666707038879,1.6288361549377441,0.46059998869895935
imagenet,densenet169,top_variant_2,densenet169_top_variant_2_on_imagenet,0.6962222456932068,1.0935417413711548,0.4408000111579895
imagenet,vgg16,top_variant_1,vgg16_top_variant_1_on_imagenet,0.2795555591583252,3.140829563140869,0.2711000144481659
imagenet,vgg16,top_variant_2,vgg16_top_variant_2_on_imagenet,0.004333333112299442,5.2993879318237305,0.004999999888241291
cifar10,efficientnetb0,top_variant_1,efficientnetb0_top_variant_1_on_cifar10,0.7590000033378601,0.7160767912864685,0.7767999768257141
cifar10,efficientnetb0,top_variant_2,efficientnetb0_top_variant_2_on_cifar10,0.8220221996307373,0.5201635956764221,0.820900022983551
cifar10,resnet50,top_variant_1,resnet50_top_variant_1_on_cifar10,0.8334888815879822,0.487682580947876,0.8223000168800354
cifar10,resnet50,top_variant_2,resnet50_top_variant_2_on_cifar10,0.8092666864395142,0.5596411228179932,0.8187000155448914
cifar10,mobilenetv2_1.00_32,top_variant_1,mobilenetv2_1.00_32_top_variant_1_on_cifar10,0.7380222082138062,0.7844556570053101,0.7184000015258789
cifar10,mobilenetv2_1.00_32,top_variant_2,mobilenetv2_1.00_32_top_variant_2_on_cifar10,0.7839999794960022,0.6370017528533936,0.7784000039100647
cifar10,densenet121,top_variant_1,densenet121_top_variant_1_on_cifar10,0.8667333126068115,0.38602951169013977,0.8260999917984009
cifar10,densenet121,top_variant_2,densenet121_top_variant_2_on_cifar10,0.9093777537345886,0.25837960839271545,0.8499000072479248
cifar10,densenet169,top_variant_1,densenet169_top_variant_1_on_cifar10,0.867888867855072,0.38635194301605225,0.8342000246047974
cifar10,densenet169,top_variant_2,densenet169_top_variant_2_on_cifar10,0.8929333090782166,0.3097875118255615,0.8367000222206116
cifar10,vgg16,top_variant_1,vgg16_top_variant_1_on_cifar10,0.8630666732788086,0.4166257679462433,0.8610000014305115
cifar10,vgg16,top_variant_2,vgg16_top_variant_2_on_cifar10,0.098822221159935,2.3030917644500732,0.2637999951839447
imagenet,efficientnetb0,v2top_variant_1,efficientnetb0_v2top_variant_1_on_imagenet,0.38565555214881897,2.5401203632354736,0.00570000009611249
